Row,Column,Year,Population,Race,Ethnicity,Gender,AgeRange
11,7,2026,21828,ALL,ALL,FEMALE,15-44
11,7,2026,21993,ALL,ALL,MALE,15-44
11,7,2026,10744,ALL,ALL,FEMALE,45-64
11,7,2026,9090,ALL,ALL,MALE,45-64
11,7,2026,5187,ALL,ALL,FEMALE,5-14
11,7,2026,5461,ALL,ALL,MALE,5-14
11,7,2026,5532,ALL,ALL,FEMALE,65+
11,7,2026,3848,ALL,ALL,MALE,65+
11,8,2026,2285,ALL,ALL,FEMALE,0-4
11,8,2026,2408,ALL,ALL,MALE,0-4
11,8,2026,21828,ALL,ALL,FEMALE,15-44
11,8,2026,21993,ALL,ALL,MALE,15-44
11,8,2026,10744,ALL,ALL,FEMALE,45-64
11,8,2026,9090,ALL,ALL,MALE,45-64
11,8,2026,5187,ALL,ALL,FEMALE,5-14
11,8,2026,5461,ALL,ALL,MALE,5-14
11,8,2026,5532,ALL,ALL,FEMALE,65+
11,8,2026,3848,ALL,ALL,MALE,65+
11,9,2026,1923,ALL,ALL,FEMALE,0-4
11,9,2026,2026,ALL,ALL,MALE,0-4
11,9,2026,18371,ALL,ALL,FEMALE,15-44
11,9,2026,18511,ALL,ALL,MALE,15-44
11,9,2026,9043,ALL,ALL,FEMALE,45-64
11,9,2026,7651,ALL,ALL,MALE,45-64
11,9,2026,4365,ALL,ALL,FEMALE,5-14
11,9,2026,4597,ALL,ALL,MALE,5-14
11,9,2026,4656,ALL,ALL,FEMALE,65+
11,9,2026,3238,ALL,ALL,MALE,65+
