LocNombre,pollutant,endpoint_group,endpoint,casos_totales,valor_total_cop,poblacion_total,casos_x_100k,valor_percapita_cop
SUBA,NO2,Hospital Admissions,Asthma,0.7955692941242591,24782910.95483099,986644.6160009813,0.08063382511008076,25.11837651866976
SUBA,NO2,Hospital Admissions,Chronic Lung Disease,0.5916216147069209,25227624.948727965,986644.6160009813,0.05996299023095591,25.56911023442191
SUBA,O3,Mortality,Respiratory mortality,0.13018516294843493,3143063555.3000164,986644.6160009813,0.01319473707524954,3185.6085811721396
SUBA,PM25,Mortality,All-cause mortality,0.07901278712915136,1907607641.330677,986644.6160009813,0.008008231722725254,1933.429332501197
SUMAPAZ,NO2,Hospital Admissions,Asthma,6.045874709989198,188336045.2550654,7662662.412896796,0.07890044457411524,24.578408274659562
SUMAPAZ,NO2,Hospital Admissions,Chronic Lung Disease,4.495841966286652,191709383.38758522,7662662.412896796,0.058672061015239765,25.018638830405074
SUMAPAZ,O3,Mortality,Respiratory mortality,1.0449815341875415,25229014594.906605,7662662.412896796,0.013637316612418739,3292.460666470757
SUMAPAZ,PM25,Mortality,All-cause mortality,0.6132689549449736,14806167294.563015,7662662.412896796,0.008003340378310273,1932.2484140294632
TEUSAQUILLO,NO2,Hospital Admissions,Asthma,0.10939519291789505,3407787.787932527,139253.35648645076,0.07855838859334002,24.47185384909628
TEUSAQUILLO,NO2,Hospital Admissions,Chronic Lung Disease,0.08134726561056063,3468768.308007819,139253.35648645076,0.05841673598616322,24.90976444323859
TEUSAQUILLO,O3,Mortality,Respiratory mortality,0.020066385304413792,484463228.4394205,139253.35648645076,0.014409983221026513,3479.0057537073326
TEUSAQUILLO,PM25,Mortality,All-cause mortality,0.011019458303513007,266043049.8261803,139253.35648645076,0.007913244306312425,1910.4964974547388
TUNJUELITO,NO2,Hospital Admissions,Asthma,0.06492557628941786,2022507.3890551815,97241.17758407132,0.06676757511835507,20.7988779990513
TUNJUELITO,NO2,Hospital Admissions,Chronic Lung Disease,0.04827436490151682,2058490.6671755125,97241.17758407132,0.049643953416525104,21.168919570063963
TUNJUELITO,O3,Mortality,Respiratory mortality,0.015090050806885958,364319463.6360751,97241.17758407132,0.015518169546887303,3746.5554478821196
TUNJUELITO,PM25,Mortality,All-cause mortality,0.010160344676773906,245301448.64129856,97241.17758407132,0.010448603080716117,2522.6087829841376
USAQUEN,NO2,Hospital Admissions,Asthma,0.472059051054919,14705189.747920085,639726.475749606,0.07379076354496335,22.986683067461183
USAQUEN,NO2,Hospital Admissions,Chronic Lung Disease,0.35101672283029467,14967874.760088071,639726.475749606,0.05486981329309331,23.397303890775056
USAQUEN,O3,Mortality,Respiratory mortality,0.09363380661957041,2260603270.4859715,639726.475749606,0.01463653767180013,3533.7028498579593
USAQUEN,PM25,Mortality,All-cause mortality,0.05024758536928824,1213128675.6432548,639726.475749606,0.007854542101045626,1896.3240097602009
USME,NO2,Hospital Admissions,Asthma,1.667401060790841,51941486.83309532,2110150.223423484,0.07901812118786825,24.615065911670516
USME,NO2,Hospital Admissions,Chronic Lung Disease,1.2399130820215554,52871736.63821728,2110150.223423484,0.058759469740971064,25.05591121016909
USME,O3,Mortality,Respiratory mortality,0.28755660285600476,6942486056.422412,2110150.223423484,0.013627304808160823,3290.0435141337953
USME,PM25,Mortality,All-cause mortality,0.16958479920476752,4094289931.6759953,2110150.223423484,0.00803662210028038,1940.2836282591604
