cell_id,area_m2,centroid_x,centroid_y
507,3718797.4257632294,995273.2790463768,950914.926035286
508,3267703.725536753,995491.2227752523,953293.7004163449
509,43055.15773550041,994704.6909174932,955564.580411825
513,3029017.7913608435,995407.3371899112,969444.5301507594
514,8035192.281880818,996004.1746821789,971932.7797006769
515,8622346.99114921,996100.4299076535,974780.8326791291
516,4082871.249663531,995338.6715803624,977758.1760740913
517,4200939.619713238,995348.3034611313,980867.8419855451
518,7234169.900632095,995906.9304730137,984015.890160634
519,9000000.0,996146.6955728917,986837.5290631296
520,9000000.0,996146.6955728917,989837.5290631296
521,9000000.0,996146.6955728917,992837.5290631296
522,9000000.0,996146.6955728917,995837.5290631296
523,9000000.0,996146.6955728917,998837.5290631296
524,9000000.0,996146.6955728917,1001837.5290631296
525,9000000.0,996146.6955728917,1004837.5290631296
526,9000000.0,996146.6955728917,1007837.5290631296
527,9000000.0,996146.6955728917,1010837.5290631296
528,9000000.0,996146.6955728917,1013837.5290631296
529,8381712.049410518,996236.8763347425,1016768.2970842576
530,5420021.131850216,996731.8816480871,1019779.4500285194
531,890053.9111969422,997159.4729622557,1021769.0744368222
546,3461.4533728210167,997661.0456004479,946278.6804549764
547,522062.454851056,997952.389275868,947265.8659162946
555,82921.46005076091,997706.9507831488,973001.8334325709
556,667658.2315171682,997835.1811960131,974439.2302765301
559,1531208.944994153,998652.7413101499,984981.9378812006
560,7942472.671179249,998976.6761691038,986887.0359917277
561,9000000.0,999146.6955728917,989837.5290631296
562,9000000.0,999146.6955728917,992837.5290631296
563,9000000.0,999146.6955728917,995837.5290631296
564,9000000.0,999146.6955728917,998837.5290631296
565,9000000.0,999146.6955728917,1001837.5290631296
566,9000000.0,999146.6955728917,1004837.5290631296
567,9000000.0,999146.6955728917,1007837.5290631296
568,9000000.0,999146.6955728917,1010837.5290631296
569,9000000.0,999146.6955728917,1013837.5290631296
570,9000000.0,999146.6955728917,1016837.5290631296
571,9000000.0,999146.6955728917,1019837.5290631296
572,5497490.636020009,999597.9816248156,1022588.9954910423
573,2741019.7493840903,999972.4207197422,1025427.897887394
601,401000.977101827,1001079.8632788884,988116.7363974403
602,5600583.243212315,1001714.9939372455,990137.1649365198
603,9000000.0,1002146.6955728917,992837.5290631296
604,9000000.0,1002146.6955728917,995837.5290631296
605,9000000.0,1002146.6955728917,998837.5290631296
606,9000000.0,1002146.6955728917,1001837.5290631296
607,9000000.0,1002146.6955728917,1004837.5290631296
608,9000000.0,1002146.6955728917,1007837.5290631296
609,9000000.0,1002146.6955728917,1010837.5290631296
610,9000000.0,1002146.6955728917,1013837.5290631296
611,9000000.0,1002146.6955728917,1016837.5290631296
612,9000000.0,1002146.6955728917,1019837.5290631296
613,9000000.0,1002146.6955728917,1022837.5290631296
614,4859585.046350655,1002155.3449097476,1025167.9200279363
643,238955.26303745844,1003787.4611114044,990933.8828248964
644,2723756.1009620936,1004175.3366111752,993181.6711345677
645,7117036.195702917,1004917.9119633348,996043.1888792451
646,9000000.0,1005146.6955728917,998837.5290631296
647,9000000.0,1005146.6955728917,1001837.5290631296
648,7361449.317250771,1004956.0373967363,1004647.2187862615
649,8015325.298421767,1005024.207228842,1007963.5307459122
650,9000000.0,1005146.6955728917,1010837.5290631296
651,9000000.0,1005146.6955728917,1013837.5290631296
652,9000000.0,1005146.6955728917,1016837.5290631296
653,8979150.03529199,1005143.2940279028,1019839.464194577
654,9000000.0,1005146.6955728917,1022837.5290631296
655,2852080.270216004,1004880.6048899373,1024867.3667757999
686,1736343.5618363505,1007303.5693715381,996683.7301901683
687,5113320.158845484,1007542.9791263558,999010.9278367137
688,8025151.356632501,1007996.5030967306,1001884.7709038561
689,1567717.1366634264,1007494.8084242028,1003943.4778240533
690,2720955.322721463,1007379.3282650723,1008456.9355626282
691,1871682.8841288304,1006981.0493363441,1010701.4511959235
692,2948152.5480534406,1007149.9518875644,1013944.3521751569
693,2675684.0608059973,1007130.8708249958,1016633.6537517884
694,351431.47857513773,1006725.5833669651,1020127.6965940136
695,3532585.7236006567,1007393.8108984893,1023178.5712782628
696,850552.0349599288,1007393.0195625847,1024622.4666689966
729,46328.09888106252,1009751.6850150267,1003239.4413743768
730,166271.48391397193,1009859.1821278732,1003550.0119643367
