run_id,pollutant,endpoint,Localidad,avoided_cases_total,economic_value_total_cop_2015,participacion_casos_pct,participacion_cop_pct
O3_MAIN,O3,Respiratory mortality,CIUDAD BOLIVAR,0.17543841173052319,4235613841.2511415,7.958004779313408,7.958004779313407
O3_MAIN,O3,Respiratory mortality,SUBA,0.1289878651138667,3114157164.5605307,5.85097663005686,5.850976630056858
O3_MAIN,O3,Respiratory mortality,USAQUEN,0.0908687343175783,2193846062.649597,4.121867126226587,4.1218671262265865
O3_MAIN,O3,Respiratory mortality,SAN CRISTOBAL,0.0726952352444235,1755082832.5283866,3.2975049409193007,3.2975049409193
O3_MAIN,O3,Respiratory mortality,SANTA FE,0.0692257071157006,1671317930.5341668,3.1401248030236757,3.1401248030236752
O3_MAIN,O3,Respiratory mortality,FONTIBON,0.0562072258770278,1357012421.3661466,2.5495977063927877,2.5495977063927873
O3_MAIN,O3,Respiratory mortality,KENNEDY,0.0515889705315521,1245513770.2396464,2.340110526539397,2.340110526539397
O3_MAIN,O3,Respiratory mortality,CHAPINERO,0.04939579976488205,1192563995.0797813,2.240626820144362,2.240626820144362
O3_MAIN,O3,Respiratory mortality,ENGATIVA,0.048715675096358296,1176143728.6662867,2.2097759060870996,2.2097759060870996
O3_MAIN,O3,Respiratory mortality,BOSA,0.028631733751895014,691256644.3249705,1.2987547697798008,1.2987547697798008
O3_MAIN,O3,Respiratory mortality,RAFAEL URIBE URIBE,0.0216855435603589,523554605.5922835,0.9836708939227159,0.9836708939227157
O3_MAIN,O3,Respiratory mortality,PUENTE ARANDA,0.0189300435521697,457028501.8780009,0.858679553552797,0.8586795535527971
O3_MAIN,O3,Respiratory mortality,BARRIOS UNIDOS,0.014006310741055,338154700.86905444,0.6353357096567464,0.6353357096567462
O3_MAIN,O3,Respiratory mortality,TUNJUELITO,0.0139074733923603,335768468.3556932,0.630852380803455,0.6308523808034548
O3_MAIN,O3,Respiratory mortality,TEUSAQUILLO,0.0134055211399822,323649822.918538,0.608083487811265,0.6080834878112649
O3_MAIN,O3,Respiratory mortality,LOS MARTIRES,0.0109439742995023,264220637.68150184,0.49642606155086333,0.49642606155086333
PM25_MAIN,PM25,All-cause mortality,SUMAPAZ,0.6149741634369725,14847336184.657755,47.31301812700969,47.31301812700969
PM25_MAIN,PM25,All-cause mortality,USME,0.17247937944463065,4164173852.8061547,13.269695690289838,13.269695690289838
PM25_MAIN,PM25,All-cause mortality,CIUDAD BOLIVAR,0.10400227673438428,2510929496.6396923,8.001411924175105,8.001411924175105
PM25_MAIN,PM25,All-cause mortality,SUBA,0.0788202469748738,1902959139.7031813,6.064033248251714,6.0640332482517145
PM25_MAIN,PM25,All-cause mortality,USAQUEN,0.0486044166033692,1173457612.164131,3.739379278888391,3.739379278888391
PM25_MAIN,PM25,All-cause mortality,SAN CRISTOBAL,0.0417094575915471,1006992449.0492738,3.2089158218739704,3.20891582187397
PM25_MAIN,PM25,All-cause mortality,SANTA FE,0.0401067060007243,968297178.4114854,3.085608178109088,3.0856081781090876
PM25_MAIN,PM25,All-cause mortality,KENNEDY,0.0327893795934627,791634788.9961268,2.522649898669928,2.5226498986699277
PM25_MAIN,PM25,All-cause mortality,FONTIBON,0.032780006321778896,791408489.8698972,2.5219287663046157,2.521928766304616
PM25_MAIN,PM25,All-cause mortality,CHAPINERO,0.027909903014908085,673829467.2862353,2.147247519940347,2.147247519940347
PM25_MAIN,PM25,All-cause mortality,ENGATIVA,0.027582623077128297,665927939.788636,2.1220682481116877,2.1220682481116877
PM25_MAIN,PM25,All-cause mortality,BOSA,0.016936831019403974,408906323.2224761,1.3030345674307133,1.3030345674307133
PM25_MAIN,PM25,All-cause mortality,PUENTE ARANDA,0.0155595484688585,375654557.1077403,1.1970733772633304,1.1970733772633306
PM25_MAIN,PM25,All-cause mortality,RAFAEL URIBE URIBE,0.0144341888489189,348484972.43364465,1.1104938699226714,1.1104938699226714
PM25_MAIN,PM25,All-cause mortality,TUNJUELITO,0.0105994512023393,255902808.16754243,0.8154684484139809,0.8154684484139811
PM25_MAIN,PM25,All-cause mortality,LOS MARTIRES,0.007280382400481,175770449.36113873,0.5601159934271329,0.5601159934271329
PM25_MAIN,PM25,All-cause mortality,TEUSAQUILLO,0.006827521478301,164837017.10290748,0.5252751524715232,0.5252751524715233
PM25_MAIN,PM25,All-cause mortality,BARRIOS UNIDOS,0.0064025747538074,154577517.9983207,0.4925818894462715,0.49258188944627157
