Localidad_norm,fecha,PM25,NO2,O3,Temp_media,HR,Vel_viento,Presión,Precipitación,Precipitación_media,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,cx,cy,diff_O3,grad_O3,adv_proxy_O3
TUNJUELITO,2023-04-01,22.373692077727952,14.306317411402157,12.874963396778917,18.597666666666665,83.93033333333332,0.8996666666666666,,218.01,7.266999999999999,0.9013888888888888,0.9486111111111112,0.9291666666666668,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-10.744700105178598,0.0009111071896389916,0.000819692768278546
USAQUEN,2023-04-01,11.03941605839416,10.26948148148148,18.22258543833581,18.597666666666665,83.93033333333332,0.8996666666666666,,218.01,7.266999999999999,0.9375,0.9347222222222222,0.9513888888888888,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-22.90704049592737,0.0009434271171236044,0.0008487699297055361
BARRIOS UNIDOS,2023-05-01,10.514124293785311,10.250991501416433,8.697185185185186,19.260322580645163,81.58612903225807,1.115483870967742,,220.91,7.126129032258064,0.9489247311827956,0.907258064516129,0.9516129032258064,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,-1.934401681668767,0.0003459555955959954,0.0003859078869583716
CIUDAD BOLIVAR,2023-05-01,14.492482269503547,,,19.260322580645163,81.58612903225807,1.115483870967742,,220.91,7.126129032258064,,,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,990627.3993600724,987422.5313793835,,,
ENGATIVA,2023-05-01,11.1811797752809,11.284615384615384,10.042313117066293,19.260322580645163,81.58612903225807,1.115483870967742,,220.91,7.126129032258064,0.8911290322580645,0.6323924731182796,0.6344086021505376,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,-1.3451279318811071,0.0002396019727026703,0.0002672721360018819
FONTIBON,2023-05-01,16.16712187900128,19.093691646663878,,20.915,81.98193548387097,1.2701612903225805,,186.25,6.008064516129032,0.92002688172043,0.5349462365591398,0.9502688172043011,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,,,
KENNEDY,2023-05-01,19.21048034934498,12.737240356083085,10.919298245614035,19.260322580645163,81.58612903225807,1.115483870967742,,220.91,7.126129032258064,0.9059139784946236,0.9193548387096774,0.9233870967741936,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-7.766425869425536,0.0007475425574504519,0.0008338716656979558
PUENTE ARANDA,2023-05-01,11.194176136363636,17.14874074074074,5.417655571635311,19.260322580645163,81.58612903225807,1.115483870967742,,220.91,7.126129032258064,0.907258064516129,0.928763440860215,0.946236559139785,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,8.738502152510636,0.0008751408948272175,0.000976205553004038
SAN CRISTOBAL,2023-05-01,6.554455445544554,9.376933895921235,4.541830985915492,19.260322580645163,81.58612903225807,1.115483870967742,,220.91,7.126129032258064,0.9556451612903226,0.9543010752688172,0.9502688172043012,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,4.98850864997155,0.0002970117037187462,0.0003313117649869111
SUBA,2023-05-01,10.365401281034325,13.444624903258722,5.95878541366278,17.621935483870967,83.74795698924731,1.1010752688172043,,244.49666666666667,7.886989247311828,0.928763440860215,0.9435483870967741,0.942652329749104,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,13.82761151463934,0.0006592545410225289,0.0007258888709753437
