fecha,origen,destino,estado,motivo
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\ranking_casos_totales.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\ranking_casos_totales.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\ranking_casos_totales_CORREGIDO.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\ranking_casos_totales_CORREGIDO.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\ranking_tasa_casos_100k.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\ranking_tasa_casos_100k.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\ranking_tasa_casos_100k_CORREGIDO.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\ranking_tasa_casos_100k_CORREGIDO.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\ranking_valor_percapita.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\ranking_valor_percapita.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\ranking_valor_percapita_CORREGIDO.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\ranking_valor_percapita_CORREGIDO.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\ranking_valor_total.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\ranking_valor_total.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\03_revision_sumapaz_morbilidad\ranking_valor_total_CORREGIDO.csv,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\04_resultados_tablas\auditoria_sumapaz\ranking_valor_total_CORREGIDO.csv,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\01_validacion_interpolacion\validacion_idw_scatter_no2.png,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_1_caracterizacion\validacion_idw_scatter_no2.png,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\01_validacion_interpolacion\validacion_idw_scatter_o3.png,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_1_caracterizacion\validacion_idw_scatter_o3.png,COPIADO,
