cell_id,year,endpoint_code,age_group,incidence_rate,count_basis_citywide_2026,population_basis_citywide_2026,incidence_source,incidence_method
420,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
421,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
422,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
423,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
424,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
425,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
426,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
427,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
428,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
429,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
430,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
431,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
432,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
433,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
434,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
435,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
436,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
437,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
438,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
439,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
440,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
441,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
442,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
443,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
444,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
445,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
446,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
